Season,First team,First team,Second team,Second team,Third team,Third team
2009–10,Dwyane Wade* (5),Miami Heat,Steve Nash* (7),Phoenix Suns,Brandon Roy (2),Portland Trail Blazers
2010–11,Kevin Durant^ (2),Oklahoma City Thunder,Pau Gasol* (3),Los Angeles Lakers,LaMarcus Aldridge†,Portland Trail Blazers
2010–11,LeBron James^ (7),Miami Heat,Dirk Nowitzki* (11),Dallas Mavericks,Zach Randolph,Memphis Grizzlies
2010–11,Dwight Howard† (5),Orlando Magic,Amar'e Stoudemire (5),New York Knicks,Al Horford^,Atlanta Hawks
2010–11,Kobe Bryant* (13),Los Angeles Lakers,Dwyane Wade* (6),Miami Heat,Manu Ginóbili* (2),San Antonio Spurs
2010–11,Derrick Rose^,Chicago Bulls,Russell Westbrook^,Oklahoma City Thunder,Chris Paul^ (3),New Orleans Hornets
2011–12,LeBron James^ (8),Miami Heat,Kevin Love^,Minnesota Timberwolves,Carmelo Anthony† (5),New York Knicks
2011–12,Kevin Durant^ (3),Oklahoma City Thunder,Blake Griffin^,Los Angeles Clippers,Dirk Nowitzki* (12),Dallas Mavericks
2011–12,Dwight Howard† (6),Orlando Magic,Andrew Bynum,Los Angeles Lakers,Tyson Chandler§,New York Knicks
2011–12,Kobe Bryant* (14),Los Angeles Lakers,Tony Parker* (2),San Antonio Spurs,Dwyane Wade* (7),Miami Heat
2011–12,Chris Paul^ (4),Los Angeles Clippers,Russell Westbrook^ (2),Oklahoma City Thunder,Rajon Rondo†,Boston Celtics
2012–13,LeBron James^ (9),Miami Heat,Carmelo Anthony† (6),New York Knicks,David Lee,Golden State Warriors
2012–13,Kevin Durant^ (4),Oklahoma City Thunder,Blake Griffin^ (2),Los Angeles Clippers,Paul George^,Indiana Pacers
2012–13,Tim Duncan* (14),San Antonio Spurs,Marc Gasol†,Memphis Grizzlies,Dwight Howard† (7),Los Angeles Lakers
2012–13,Kobe Bryant* (15),Los Angeles Lakers,Tony Parker* (3),San Antonio Spurs,Dwyane Wade* (8),Miami Heat
2012–13,Chris Paul^ (5),Los Angeles Clippers,Russell Westbrook^ (3),Oklahoma City Thunder,James Harden^,Houston Rockets
2013–14,Kevin Durant^ (5),Oklahoma City Thunder,Blake Griffin^ (3),Los Angeles Clippers,Paul George^ (2),Indiana Pacers
2013–14,LeBron James^ (10),Miami Heat,Kevin Love^ (2),Minnesota Timberwolves,LaMarcus Aldridge† (2),Portland Trail Blazers
2013–14,Joakim Noah§,Chicago Bulls,Dwight Howard† (8),Houston Rockets,Al Jefferson,Charlotte Hornets
2013–14,James Harden^ (2),Houston Rockets,Stephen Curry^,Golden State Warriors,Goran Dragić^,Phoenix Suns
